provider,task_id,domain,final_score,judge_score,deterministic_score,judge_deterministic_delta,final_judge_delta,score_source,scoring_warnings
origin,jordan_crypto_concentration,investing_equity_comp,25,25,60,35,0,judge_override,Deterministic/judge divergence 35 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
origin,jordan_hsa,retirement_tax_advantaged,65,85,67,18,20,weighted_blend,Final/judge divergence 20 points; public score may not match judged response quality. | Score cap 65 applied: answer contradicts a locked fact (1 material)
origin,jordan_office_supplies_rewards,credit_cards_rewards,80,75,100,25,5,weighted_blend,Deterministic/judge divergence 25 points; inspect validator brittleness or judge reasoning.
origin,jordan_roth_or_traditional_ira,retirement_tax_advantaged,41,35,64,29,6,weighted_blend,"Deterministic/judge divergence 29 points; inspect validator brittleness or judge reasoning. | Score cap 85 checked: judge found the user-visible answer was truncated, cut off, or incomplete; uncapped score was already at or below the cap."
origin,jordan_scorp_or_llc,tax_strategy,65,82,60,22,17,weighted_blend,Score cap 65 applied: answer contradicts a locked fact (1 material)
origin,jordan_solo401k_or_sep,retirement_tax_advantaged,65,65,63,2,0,weighted_blend,"Score cap 85 checked: judge found the user-visible answer was truncated, cut off, or incomplete; uncapped score was already at or below the cap."
origin,jordan_travel_rewards,credit_cards_rewards,48,45,60,15,3,weighted_blend,"Score cap 85 checked: judge found the user-visible answer was truncated, cut off, or incomplete; uncapped score was already at or below the cap."
origin,jordan_where_wasting_money,savings_expense_reduction,69,65,92,27,4,weighted_blend,Deterministic/judge divergence 27 points; inspect validator brittleness or judge reasoning.
origin,maria_401k_contribution,retirement_tax_advantaged,25,25,75,50,0,judge_override,Deterministic/judge divergence 50 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
origin,maria_alaska_microsoft,employer_benefits_perks,65,65,100,35,0,judge_override,Deterministic/judge divergence 35 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
origin,maria_costco_optimization,credit_cards_rewards,65,65,100,35,0,judge_override,Deterministic/judge divergence 35 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality. | Score cap 65 checked: answer contradicts a locked fact (1 material); uncapped score was already at or below the cap.
origin,maria_mfte_eligibility_check,housing_rent,78,85,50,35,7,weighted_blend,Deterministic/judge divergence 35 points; inspect validator brittleness or judge reasoning.
origin,maria_rent_rewards,credit_cards_rewards,65,85,100,15,20,weighted_blend,Final/judge divergence 20 points; public score may not match judged response quality. | Score cap 65 applied: answer contradicts a locked fact (1 material)
origin,maria_rsu_tax_withholding,investing_equity_comp,65,65,100,35,0,judge_override,Deterministic/judge divergence 35 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality. | Score cap 65 checked: answer contradicts a locked fact (1 material); uncapped score was already at or below the cap.
origin,maria_where_wasting_money,savings_expense_reduction,41,45,17,28,4,weighted_blend,Deterministic/judge divergence 28 points; inspect validator brittleness or judge reasoning.
origin,patel_401k_percent_to_limit,retirement_tax_advantaged,35,35,75,40,0,judge_override,Deterministic/judge divergence 40 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
origin,patel_529_tax_strategy,tax_strategy,65,78,63,15,13,weighted_blend,Score cap 65 applied: answer contradicts a locked fact (1 material)
origin,patel_checking_buffer,cashflow_budgeting,65,65,100,35,0,judge_override,Deterministic/judge divergence 35 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
origin,patel_childcare_family_spend_may,transaction_intelligence,76,92,60,32,16,weighted_blend,Deterministic/judge divergence 32 points; inspect validator brittleness or judge reasoning.
origin,patel_college_savings_allocation,investing_equity_comp,65,78,75,3,13,weighted_blend,Score cap 65 applied: answer contradicts a locked fact (1 material)
origin,patel_daycare_rewards,credit_cards_rewards,40,65,75,10,25,weighted_blend,Final/judge divergence 25 points; public score may not match judged response quality. | Score cap 75 checked: critical stale/wrong locked current fact detected (stale_dependent_care_fsa_5000); uncapped score was already at or below the cap. | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)
origin,patel_employer_family_benefits,employer_benefits_perks,40,65,86,21,25,weighted_blend,Final/judge divergence 25 points; public score may not match judged response quality. | Score cap 75 checked: critical stale/wrong locked current fact detected (stale_dependent_care_fsa_5000); uncapped score was already at or below the cap. | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)
origin,patel_subscriptions_benefits,savings_expense_reduction,40,82,100,18,42,weighted_blend,Final/judge divergence 42 points; public score may not match judged response quality. | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)
origin,patel_tax_optimization,tax_strategy,40,65,88,23,25,weighted_blend,"Final/judge divergence 25 points; public score may not match judged response quality. | Score cap 70 checked: multiple stale/wrong locked current facts detected (wrong_401k_24000_limit, stale_dependent_care_fsa_5000); uncapped score was already at or below the cap. | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)"
