provider,mode,persona_id,task_id,domain,final_score,deterministic_score,judge_score,score_source,deterministic_weight,judge_weight,judge_deterministic_delta,final_judge_delta,scoring_mode,latency_ms,scoring_warnings
monarch,product_capture,jordan_austin_freelancer_v0,jordan_business_banking_perks,employer_benefits_perks,64,60,65,weighted_blend,0.15,0.85,5,1,deterministic_plus_judge,112420,
monarch,product_capture,jordan_austin_freelancer_v0,jordan_business_expenses_may,transaction_intelligence,74,83,65,weighted_blend,0.5,0.5,18,9,deterministic_plus_judge,31859,"Score cap 85 checked: judge found the user-visible answer was truncated, cut off, or incomplete; uncapped score was already at or below the cap."
monarch,product_capture,jordan_austin_freelancer_v0,jordan_checking_buffer,cashflow_budgeting,35,100,35,judge_override,0,1,65,0,deterministic_plus_judge,62109,Deterministic/judge divergence 65 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
monarch,product_capture,jordan_austin_freelancer_v0,jordan_credit_card_balance_check,debt_credit_health,60,80,55,weighted_blend,0.2,0.8,25,5,deterministic_plus_judge,113042,Deterministic/judge divergence 25 points; inspect validator brittleness or judge reasoning.
monarch,product_capture,jordan_austin_freelancer_v0,jordan_credit_card_strategy,credit_cards_rewards,10,42,10,judge_override,0,1,32,0,deterministic_plus_judge,42156,Deterministic/judge divergence 32 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
monarch,product_capture,jordan_austin_freelancer_v0,jordan_crypto_concentration,investing_equity_comp,64,60,65,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,97087,
monarch,product_capture,jordan_austin_freelancer_v0,jordan_disability_liability_need,insurance_risk_protection,75,75,75,weighted_blend,0.2,0.8,0,0,deterministic_plus_judge,112291,
monarch,product_capture,jordan_austin_freelancer_v0,jordan_extra_8000,life_planning_major_decisions,67,79,65,weighted_blend,0.15,0.85,14,2,deterministic_plus_judge,112424,
monarch,product_capture,jordan_austin_freelancer_v0,jordan_health_insurance_marketplace,employer_benefits_perks,63,57,65,weighted_blend,0.2,0.8,8,2,deterministic_plus_judge,82193,
monarch,product_capture,jordan_austin_freelancer_v0,jordan_home_office_deduction,tax_strategy,73,67,75,weighted_blend,0.2,0.8,8,2,deterministic_plus_judge,112514,
monarch,product_capture,jordan_austin_freelancer_v0,jordan_home_office_rent,housing_rent,67,75,65,weighted_blend,0.2,0.8,10,2,deterministic_plus_judge,112650,
monarch,product_capture,jordan_austin_freelancer_v0,jordan_hsa,retirement_tax_advantaged,62,50,65,weighted_blend,0.2,0.8,15,3,deterministic_plus_judge,113342,
monarch,product_capture,jordan_austin_freelancer_v0,jordan_idle_cash,cashflow_budgeting,84,80,85,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,112374,
monarch,product_capture,jordan_austin_freelancer_v0,jordan_insurance_review,insurance_risk_protection,82,80,82,weighted_blend,0.2,0.8,2,0,deterministic_plus_judge,92439,
monarch,product_capture,jordan_austin_freelancer_v0,jordan_office_supplies_rewards,credit_cards_rewards,5,25,0,weighted_blend,0.2,0.8,25,5,deterministic_plus_judge,112284,Deterministic/judge divergence 25 points; inspect validator brittleness or judge reasoning.
monarch,product_capture,jordan_austin_freelancer_v0,jordan_quarterly_estimated_taxes,tax_strategy,78,88,75,weighted_blend,0.2,0.8,13,3,deterministic_plus_judge,112235,"Score cap 85 checked: judge found the user-visible answer was truncated, cut off, or incomplete; uncapped score was already at or below the cap."
monarch,product_capture,jordan_austin_freelancer_v0,jordan_recurring_charges_audit,transaction_intelligence,0,50,0,judge_override,0,1,50,0,deterministic_plus_judge,41877,Deterministic/judge divergence 50 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
monarch,product_capture,jordan_austin_freelancer_v0,jordan_rent_affordability,housing_rent,10,30,5,weighted_blend,0.2,0.8,25,5,deterministic_plus_judge,36858,Deterministic/judge divergence 25 points; inspect validator brittleness or judge reasoning.
monarch,product_capture,jordan_austin_freelancer_v0,jordan_roth_or_traditional_ira,retirement_tax_advantaged,55,57,55,weighted_blend,0.2,0.8,2,0,deterministic_plus_judge,87768,
