provider,task_id,domain,final_score,judge_score,deterministic_score,judge_deterministic_delta,final_judge_delta,score_source,scoring_warnings
openai:chat-latest,jordan_roth_or_traditional_ira,retirement_tax_advantaged,40,78,64,14,38,weighted_blend,Final/judge divergence 38 points; public score may not match judged response quality. | Score cap 80 checked: stale/wrong locked current fact detected (stale_ira_7000_limit); uncapped score was already at or below the cap. | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)
openai:chat-latest,maria_401k_contribution,retirement_tax_advantaged,81,75,100,25,6,weighted_blend,Deterministic/judge divergence 25 points; inspect validator brittleness or judge reasoning.
openai:chat-latest,maria_401k_percent_to_limit,retirement_tax_advantaged,40,75,90,15,35,weighted_blend,Final/judge divergence 35 points; public score may not match judged response quality. | Score cap 80 checked: stale/wrong locked current fact detected (wrong_401k_24000_limit); uncapped score was already at or below the cap. | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)
openai:chat-latest,maria_alaska_microsoft,employer_benefits_perks,79,75,100,25,4,weighted_blend,Deterministic/judge divergence 25 points; inspect validator brittleness or judge reasoning.
openai:chat-latest,maria_hsa,tax_strategy,70,75,50,25,5,weighted_blend,Deterministic/judge divergence 25 points; inspect validator brittleness or judge reasoning.
openai:chat-latest,maria_rent_rewards,credit_cards_rewards,55,75,100,25,20,weighted_blend,Deterministic/judge divergence 25 points; inspect validator brittleness or judge reasoning. | Final/judge divergence 20 points; public score may not match judged response quality. | Score cap 55 applied: answer contradicts multiple locked facts (2 material)
openai:chat-latest,maria_tax_optimization,tax_strategy,40,55,50,5,15,weighted_blend,"Score cap 70 checked: multiple stale/wrong locked current facts detected (stale_401k_23500, stale_ira_7000_limit); uncapped score was already at or below the cap. | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (2 dangerous)"
openai:chat-latest,maria_where_wasting_money,savings_expense_reduction,65,65,100,35,0,judge_override,Deterministic/judge divergence 35 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
openai:chat-latest,patel_401k_percent_to_limit,retirement_tax_advantaged,40,65,75,10,25,weighted_blend,Final/judge divergence 25 points; public score may not match judged response quality. | Score cap 80 checked: stale/wrong locked current fact detected (wrong_401k_24000_limit); uncapped score was already at or below the cap. | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)
openai:chat-latest,patel_529_tax_strategy,tax_strategy,65,75,100,25,10,weighted_blend,Deterministic/judge divergence 25 points; inspect validator brittleness or judge reasoning. | Score cap 80 checked: stale/wrong locked current fact detected (stale_529_k12_10000_limit); uncapped score was already at or below the cap. | Score cap 65 applied: answer contradicts a locked fact (1 material)
openai:chat-latest,patel_backdoor_roth,tax_strategy,40,65,58,7,25,weighted_blend,Final/judge divergence 25 points; public score may not match judged response quality. | Score cap 75 checked: critical stale/wrong locked current fact detected (stale_dependent_care_fsa_5000); uncapped score was already at or below the cap. | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)
openai:chat-latest,patel_childcare_tax_credits,tax_strategy,40,65,80,15,25,weighted_blend,Final/judge divergence 25 points; public score may not match judged response quality. | Score cap 75 checked: critical stale/wrong locked current fact detected (stale_dependent_care_fsa_5000); uncapped score was already at or below the cap. | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)
openai:chat-latest,patel_daycare_rewards,credit_cards_rewards,40,75,83,8,35,weighted_blend,Final/judge divergence 35 points; public score may not match judged response quality. | Score cap 75 applied: critical stale/wrong locked current fact detected (stale_dependent_care_fsa_5000) | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)
openai:chat-latest,patel_dependent_care_fsa,employer_benefits_perks,40,65,80,15,25,weighted_blend,Final/judge divergence 25 points; public score may not match judged response quality. | Score cap 75 checked: critical stale/wrong locked current fact detected (stale_dependent_care_fsa_5000); uncapped score was already at or below the cap. | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)
openai:chat-latest,patel_extra_15000,life_planning_major_decisions,40,78,71,7,38,weighted_blend,Final/judge divergence 38 points; public score may not match judged response quality. | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)
openai:chat-latest,patel_recurring_charges_audit,transaction_intelligence,40,85,100,15,45,weighted_blend,Final/judge divergence 45 points; public score may not match judged response quality. | Score cap 75 applied: critical stale/wrong locked current fact detected (stale_dependent_care_fsa_5000) | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)
openai:chat-latest,patel_subscriptions_benefits,savings_expense_reduction,40,75,86,11,35,weighted_blend,Final/judge divergence 35 points; public score may not match judged response quality. | Score cap 75 applied: critical stale/wrong locked current fact detected (stale_dependent_care_fsa_5000) | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)
openai:chat-latest,patel_taxable_investing_priority,investing_equity_comp,40,78,67,11,38,weighted_blend,Final/judge divergence 38 points; public score may not match judged response quality. | Score cap 80 checked: stale/wrong locked current fact detected (wrong_401k_24000_limit); uncapped score was already at or below the cap. | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)
