provider,mode,persona_id,task_id,domain,final_score,deterministic_score,judge_score,score_source,deterministic_weight,judge_weight,judge_deterministic_delta,final_judge_delta,scoring_mode,latency_ms,scoring_warnings
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_business_banking_perks,employer_benefits_perks,93,100,92,weighted_blend,0.15,0.85,8,1,deterministic_plus_judge,13809,
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_business_expenses_may,transaction_intelligence,99,100,98,weighted_blend,0.5,0.5,2,1,deterministic_plus_judge,6772,
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_checking_buffer,cashflow_budgeting,96,100,95,weighted_blend,0.25,0.75,5,1,deterministic_plus_judge,7356,
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_credit_card_balance_check,debt_credit_health,96,100,95,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,7324,
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_credit_card_strategy,credit_cards_rewards,77,83,75,weighted_blend,0.2,0.8,8,2,deterministic_plus_judge,8669,
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_crypto_concentration,investing_equity_comp,96,100,95,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,6867,
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_disability_liability_need,insurance_risk_protection,96,100,95,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,7404,
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_extra_8000,life_planning_major_decisions,96,100,95,weighted_blend,0.15,0.85,5,1,deterministic_plus_judge,6818,
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_health_insurance_marketplace,employer_benefits_perks,82,71,85,weighted_blend,0.2,0.8,14,3,deterministic_plus_judge,8120,
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_home_office_deduction,tax_strategy,90,83,92,weighted_blend,0.2,0.8,9,2,deterministic_plus_judge,9536,
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_home_office_rent,housing_rent,96,100,95,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,7138,
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_hsa,retirement_tax_advantaged,96,100,95,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,6923,
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_idle_cash,cashflow_budgeting,90,100,88,weighted_blend,0.2,0.8,12,2,deterministic_plus_judge,6461,
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_insurance_review,insurance_risk_protection,96,100,95,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,8111,
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_office_supplies_rewards,credit_cards_rewards,85,83,85,weighted_blend,0.2,0.8,2,0,deterministic_plus_judge,8255,
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_quarterly_estimated_taxes,tax_strategy,96,100,95,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,9268,
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_recurring_charges_audit,transaction_intelligence,92,89,95,weighted_blend,0.5,0.5,6,3,deterministic_plus_judge,6714,
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_rent_affordability,housing_rent,96,100,95,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,7881,
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_roth_or_traditional_ira,retirement_tax_advantaged,40,64,78,weighted_blend,0.2,0.8,14,38,deterministic_plus_judge,7202,Final/judge divergence 38 points; public score may not match judged response quality. | Score cap 80 checked: stale/wrong locked current fact detected (stale_ira_7000_limit); uncapped score was already at or below the cap. | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_scorp_or_llc,tax_strategy,84,80,85,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,8016,
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_solo401k_or_sep,retirement_tax_advantaged,88,100,85,weighted_blend,0.2,0.8,15,3,deterministic_plus_judge,12740,
