provider,mode,persona_id,task_id,domain,final_score,deterministic_score,judge_score,score_source,deterministic_weight,judge_weight,judge_deterministic_delta,final_judge_delta,scoring_mode,latency_ms,scoring_warnings
treasury,product_capture,jordan_austin_freelancer_v0,jordan_business_banking_perks,employer_benefits_perks,65,70,82,weighted_blend,0.15,0.85,12,17,deterministic_plus_judge,14140,Score cap 65 applied: answer contradicts a locked fact (1 material)
treasury,product_capture,jordan_austin_freelancer_v0,jordan_business_expenses_may,transaction_intelligence,96,100,92,weighted_blend,0.5,0.5,8,4,deterministic_plus_judge,23775,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_checking_buffer,cashflow_budgeting,89,100,85,weighted_blend,0.25,0.75,15,4,deterministic_plus_judge,14062,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_credit_card_balance_check,debt_credit_health,76,80,75,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,18355,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_credit_card_strategy,credit_cards_rewards,76,67,78,weighted_blend,0.2,0.8,11,2,deterministic_plus_judge,11832,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_crypto_concentration,investing_equity_comp,86,80,88,weighted_blend,0.2,0.8,8,2,deterministic_plus_judge,14422,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_disability_liability_need,insurance_risk_protection,90,88,90,weighted_blend,0.2,0.8,2,0,deterministic_plus_judge,12993,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_extra_8000,life_planning_major_decisions,91,86,92,weighted_blend,0.15,0.85,6,1,deterministic_plus_judge,16366,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_health_insurance_marketplace,employer_benefits_perks,92,93,92,weighted_blend,0.2,0.8,1,0,deterministic_plus_judge,16029,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_home_office_deduction,tax_strategy,93,83,95,weighted_blend,0.2,0.8,12,2,deterministic_plus_judge,12318,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_home_office_rent,housing_rent,96,100,95,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,10729,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_hsa,retirement_tax_advantaged,87,83,88,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,11062,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_idle_cash,cashflow_budgeting,86,80,88,weighted_blend,0.2,0.8,8,2,deterministic_plus_judge,16991,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_insurance_review,insurance_risk_protection,86,80,88,weighted_blend,0.2,0.8,8,2,deterministic_plus_judge,11591,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_office_supplies_rewards,credit_cards_rewards,85,75,88,weighted_blend,0.2,0.8,13,3,deterministic_plus_judge,16140,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_quarterly_estimated_taxes,tax_strategy,78,88,75,weighted_blend,0.2,0.8,13,3,deterministic_plus_judge,15176,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_recurring_charges_audit,transaction_intelligence,76,67,85,weighted_blend,0.5,0.5,18,9,deterministic_plus_judge,12108,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_rent_affordability,housing_rent,82,100,78,weighted_blend,0.2,0.8,22,4,deterministic_plus_judge,12704,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_roth_or_traditional_ira,retirement_tax_advantaged,92,79,95,weighted_blend,0.2,0.8,16,3,deterministic_plus_judge,10988,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_scorp_or_llc,tax_strategy,70,40,78,weighted_blend,0.2,0.8,38,8,deterministic_plus_judge,17226,Deterministic/judge divergence 38 points; inspect validator brittleness or judge reasoning.
treasury,product_capture,jordan_austin_freelancer_v0,jordan_solo401k_or_sep,retirement_tax_advantaged,84,69,88,weighted_blend,0.2,0.8,19,4,deterministic_plus_judge,10835,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_spend_may_total,transaction_intelligence,87,88,85,weighted_blend,0.5,0.5,3,2,deterministic_plus_judge,6281,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_subscriptions_benefits,savings_expense_reduction,76,67,78,weighted_blend,0.15,0.85,11,2,deterministic_plus_judge,14833,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_tax_optimization,tax_strategy,77,69,78,weighted_blend,0.15,0.85,9,1,deterministic_plus_judge,16951,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_taxable_investing_after_tax_reserve,investing_equity_comp,87,79,88,weighted_blend,0.15,0.85,9,1,deterministic_plus_judge,16669,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_travel_rewards,credit_cards_rewards,94,100,92,weighted_blend,0.2,0.8,8,2,deterministic_plus_judge,13719,
treasury,product_capture,jordan_austin_freelancer_v0,jordan_where_wasting_money,savings_expense_reduction,84,92,82,weighted_blend,0.15,0.85,10,2,deterministic_plus_judge,14501,
treasury,product_capture,maria_seattle_v0,maria_401k_contribution,retirement_tax_advantaged,96,100,95,weighted_blend,0.25,0.75,5,1,deterministic_plus_judge,10181,
treasury,product_capture,maria_seattle_v0,maria_401k_percent_to_limit,retirement_tax_advantaged,81,70,85,weighted_blend,0.25,0.75,15,4,deterministic_plus_judge,15222,
treasury,product_capture,maria_seattle_v0,maria_alaska_microsoft,employer_benefits_perks,90,100,88,weighted_blend,0.15,0.85,12,2,deterministic_plus_judge,13704,
treasury,product_capture,maria_seattle_v0,maria_backdoor_roth,tax_strategy,96,100,95,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,10896,
treasury,product_capture,maria_seattle_v0,maria_checking_buffer,cashflow_budgeting,73,38,82,weighted_blend,0.2,0.8,44,9,deterministic_plus_judge,18428,Deterministic/judge divergence 44 points; inspect validator brittleness or judge reasoning.
treasury,product_capture,maria_seattle_v0,maria_costco_optimization,credit_cards_rewards,65,100,78,weighted_blend,0.2,0.8,22,13,deterministic_plus_judge,14938,Score cap 65 applied: answer contradicts a locked fact (1 material)
treasury,product_capture,maria_seattle_v0,maria_credit_card_balance_check,debt_credit_health,94,100,92,weighted_blend,0.2,0.8,8,2,deterministic_plus_judge,10381,
treasury,product_capture,maria_seattle_v0,maria_credit_card_strategy,credit_cards_rewards,65,86,65,weighted_blend,0.2,0.8,21,0,deterministic_plus_judge,11754,Score cap 65 applied: answer contradicts a locked fact (1 material)
treasury,product_capture,maria_seattle_v0,maria_extra_10000,life_planning_major_decisions,90,100,88,weighted_blend,0.15,0.85,12,2,deterministic_plus_judge,13510,
treasury,product_capture,maria_seattle_v0,maria_food_spend_may,transaction_intelligence,98,100,95,weighted_blend,0.5,0.5,5,3,deterministic_plus_judge,14783,
treasury,product_capture,maria_seattle_v0,maria_hsa,tax_strategy,96,100,95,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,11536,
treasury,product_capture,maria_seattle_v0,maria_idle_cash,cashflow_budgeting,93,100,92,weighted_blend,0.15,0.85,8,1,deterministic_plus_judge,17044,
treasury,product_capture,maria_seattle_v0,maria_insurance_review,insurance_risk_protection,87,83,88,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,10847,
treasury,product_capture,maria_seattle_v0,maria_life_insurance_need,insurance_risk_protection,87,83,88,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,14798,
treasury,product_capture,maria_seattle_v0,maria_mega_backdoor,retirement_tax_advantaged,95,93,95,weighted_blend,0.2,0.8,2,0,deterministic_plus_judge,17713,
treasury,product_capture,maria_seattle_v0,maria_mfte_eligibility_check,housing_rent,94,90,95,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,14755,
treasury,product_capture,maria_seattle_v0,maria_msft_stock_risk,investing_equity_comp,74,70,75,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,12555,
treasury,product_capture,maria_seattle_v0,maria_recurring_charges_audit,transaction_intelligence,98,100,95,weighted_blend,0.5,0.5,5,3,deterministic_plus_judge,11101,
treasury,product_capture,maria_seattle_v0,maria_rent_rewards,credit_cards_rewards,76,50,82,weighted_blend,0.2,0.8,32,6,deterministic_plus_judge,11559,Deterministic/judge divergence 32 points; inspect validator brittleness or judge reasoning.
treasury,product_capture,maria_seattle_v0,maria_rental_car_trip,employer_benefits_perks,90,100,88,weighted_blend,0.2,0.8,12,2,deterministic_plus_judge,23602,
treasury,product_capture,maria_seattle_v0,maria_rsu_tax_withholding,investing_equity_comp,90,100,88,weighted_blend,0.2,0.8,12,2,deterministic_plus_judge,11045,
treasury,product_capture,maria_seattle_v0,maria_save_on_rent,housing_rent,90,100,88,weighted_blend,0.15,0.85,12,2,deterministic_plus_judge,14718,
treasury,product_capture,maria_seattle_v0,maria_side_income_tax,tax_strategy,89,67,95,weighted_blend,0.2,0.8,28,6,deterministic_plus_judge,11031,Deterministic/judge divergence 28 points; inspect validator brittleness or judge reasoning.
treasury,product_capture,maria_seattle_v0,maria_spend_may_total,transaction_intelligence,98,100,95,weighted_blend,0.5,0.5,5,3,deterministic_plus_judge,8040,
treasury,product_capture,maria_seattle_v0,maria_subscriptions_benefits,savings_expense_reduction,86,75,88,weighted_blend,0.15,0.85,13,2,deterministic_plus_judge,11555,
treasury,product_capture,maria_seattle_v0,maria_tax_optimization,tax_strategy,85,100,82,weighted_blend,0.15,0.85,18,3,deterministic_plus_judge,16356,
treasury,product_capture,maria_seattle_v0,maria_where_wasting_money,savings_expense_reduction,85,67,88,weighted_blend,0.15,0.85,21,3,deterministic_plus_judge,12256,
treasury,product_capture,patel_denver_family_v0,patel_401k_contribution,retirement_tax_advantaged,85,83,85,weighted_blend,0.2,0.8,2,0,deterministic_plus_judge,13333,
treasury,product_capture,patel_denver_family_v0,patel_401k_percent_to_limit,retirement_tax_advantaged,71,88,65,weighted_blend,0.25,0.75,23,6,deterministic_plus_judge,11954,
treasury,product_capture,patel_denver_family_v0,patel_529_tax_strategy,tax_strategy,86,63,92,weighted_blend,0.2,0.8,29,6,deterministic_plus_judge,13183,Deterministic/judge divergence 29 points; inspect validator brittleness or judge reasoning.
treasury,product_capture,patel_denver_family_v0,patel_backdoor_roth,tax_strategy,91,75,95,weighted_blend,0.2,0.8,20,4,deterministic_plus_judge,12921,
treasury,product_capture,patel_denver_family_v0,patel_checking_buffer,cashflow_budgeting,91,100,88,weighted_blend,0.25,0.75,12,3,deterministic_plus_judge,13104,
treasury,product_capture,patel_denver_family_v0,patel_childcare_family_spend_may,transaction_intelligence,98,100,95,weighted_blend,0.5,0.5,5,3,deterministic_plus_judge,14607,
treasury,product_capture,patel_denver_family_v0,patel_childcare_tax_credits,tax_strategy,65,80,78,weighted_blend,0.2,0.8,2,13,deterministic_plus_judge,13845,Score cap 65 applied: answer contradicts a locked fact (1 material)
treasury,product_capture,patel_denver_family_v0,patel_college_savings_allocation,investing_equity_comp,65,83,82,weighted_blend,0.2,0.8,1,17,deterministic_plus_judge,16697,Score cap 65 applied: answer contradicts a locked fact (1 material)
treasury,product_capture,patel_denver_family_v0,patel_costco_target_optimization,credit_cards_rewards,88,90,88,weighted_blend,0.2,0.8,2,0,deterministic_plus_judge,12261,
treasury,product_capture,patel_denver_family_v0,patel_credit_card_balance_check,debt_credit_health,82,100,78,weighted_blend,0.2,0.8,22,4,deterministic_plus_judge,12565,
treasury,product_capture,patel_denver_family_v0,patel_credit_card_strategy,credit_cards_rewards,79,83,78,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,12022,
treasury,product_capture,patel_denver_family_v0,patel_daycare_rewards,credit_cards_rewards,94,92,95,weighted_blend,0.2,0.8,3,1,deterministic_plus_judge,14072,
treasury,product_capture,patel_denver_family_v0,patel_dependent_care_fsa,employer_benefits_perks,96,100,95,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,12519,
treasury,product_capture,patel_denver_family_v0,patel_employer_family_benefits,employer_benefits_perks,89,93,88,weighted_blend,0.15,0.85,5,1,deterministic_plus_judge,14988,
treasury,product_capture,patel_denver_family_v0,patel_extra_15000,life_planning_major_decisions,89,93,88,weighted_blend,0.15,0.85,5,1,deterministic_plus_judge,19431,
treasury,product_capture,patel_denver_family_v0,patel_hsa_family,retirement_tax_advantaged,96,100,95,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,16194,
treasury,product_capture,patel_denver_family_v0,patel_idle_cash,cashflow_budgeting,88,100,85,weighted_blend,0.2,0.8,15,3,deterministic_plus_judge,13698,
treasury,product_capture,patel_denver_family_v0,patel_insurance_review,insurance_risk_protection,88,88,88,weighted_blend,0.2,0.8,0,0,deterministic_plus_judge,12993,
treasury,product_capture,patel_denver_family_v0,patel_life_insurance_need,insurance_risk_protection,96,100,95,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,11237,
treasury,product_capture,patel_denver_family_v0,patel_mortgage_escrow_review,housing_rent,81,75,82,weighted_blend,0.2,0.8,7,1,deterministic_plus_judge,11595,
treasury,product_capture,patel_denver_family_v0,patel_property_insurance_review,housing_rent,88,100,85,weighted_blend,0.2,0.8,15,3,deterministic_plus_judge,12428,
treasury,product_capture,patel_denver_family_v0,patel_recurring_charges_audit,transaction_intelligence,98,100,95,weighted_blend,0.5,0.5,5,3,deterministic_plus_judge,13738,
treasury,product_capture,patel_denver_family_v0,patel_spend_may_total,transaction_intelligence,78,71,85,weighted_blend,0.5,0.5,14,7,deterministic_plus_judge,4371,"Score cap 85 checked: judge found the user-visible answer was truncated, cut off, or incomplete; uncapped score was already at or below the cap."
