provider,mode,persona_id,task_id,domain,deterministic_score,latency_ms,checks_passed,checks_total
treasury,product_capture,jordan_austin_freelancer_v0,jordan_business_banking_perks,employer_benefits_perks,70,14140,3,5
treasury,product_capture,jordan_austin_freelancer_v0,jordan_business_expenses_may,transaction_intelligence,100,23775,6,6
treasury,product_capture,jordan_austin_freelancer_v0,jordan_checking_buffer,cashflow_budgeting,100,14062,5,5
treasury,product_capture,jordan_austin_freelancer_v0,jordan_credit_card_balance_check,debt_credit_health,80,18355,4,5
treasury,product_capture,jordan_austin_freelancer_v0,jordan_credit_card_strategy,credit_cards_rewards,67,11832,4,6
treasury,product_capture,jordan_austin_freelancer_v0,jordan_crypto_concentration,investing_equity_comp,80,14422,4,5
treasury,product_capture,jordan_austin_freelancer_v0,jordan_disability_liability_need,insurance_risk_protection,88,12993,3,4
treasury,product_capture,jordan_austin_freelancer_v0,jordan_extra_8000,life_planning_major_decisions,86,16366,6,7
treasury,product_capture,jordan_austin_freelancer_v0,jordan_health_insurance_marketplace,employer_benefits_perks,93,16029,6,7
treasury,product_capture,jordan_austin_freelancer_v0,jordan_home_office_deduction,tax_strategy,83,12318,5,6
treasury,product_capture,jordan_austin_freelancer_v0,jordan_home_office_rent,housing_rent,100,10729,4,4
treasury,product_capture,jordan_austin_freelancer_v0,jordan_hsa,retirement_tax_advantaged,83,11062,5,6
treasury,product_capture,jordan_austin_freelancer_v0,jordan_idle_cash,cashflow_budgeting,80,16991,4,5
treasury,product_capture,jordan_austin_freelancer_v0,jordan_insurance_review,insurance_risk_protection,80,11591,4,5
treasury,product_capture,jordan_austin_freelancer_v0,jordan_office_supplies_rewards,credit_cards_rewards,75,16140,4,6
treasury,product_capture,jordan_austin_freelancer_v0,jordan_quarterly_estimated_taxes,tax_strategy,88,15176,7,8
treasury,product_capture,jordan_austin_freelancer_v0,jordan_recurring_charges_audit,transaction_intelligence,67,12108,6,9
treasury,product_capture,jordan_austin_freelancer_v0,jordan_rent_affordability,housing_rent,100,12704,5,5
treasury,product_capture,jordan_austin_freelancer_v0,jordan_roth_or_traditional_ira,retirement_tax_advantaged,79,10988,5,7
treasury,product_capture,jordan_austin_freelancer_v0,jordan_scorp_or_llc,tax_strategy,40,17226,2,5
treasury,product_capture,jordan_austin_freelancer_v0,jordan_solo401k_or_sep,retirement_tax_advantaged,69,10835,5,8
treasury,product_capture,jordan_austin_freelancer_v0,jordan_spend_may_total,transaction_intelligence,88,6281,7,8
treasury,product_capture,jordan_austin_freelancer_v0,jordan_subscriptions_benefits,savings_expense_reduction,67,14833,6,9
treasury,product_capture,jordan_austin_freelancer_v0,jordan_tax_optimization,tax_strategy,69,16951,5,8
treasury,product_capture,jordan_austin_freelancer_v0,jordan_taxable_investing_after_tax_reserve,investing_equity_comp,79,16669,5,7
treasury,product_capture,jordan_austin_freelancer_v0,jordan_travel_rewards,credit_cards_rewards,100,13719,5,5
treasury,product_capture,jordan_austin_freelancer_v0,jordan_where_wasting_money,savings_expense_reduction,92,14501,5,6
treasury,product_capture,maria_seattle_v0,maria_401k_contribution,retirement_tax_advantaged,100,10181,4,4
treasury,product_capture,maria_seattle_v0,maria_401k_percent_to_limit,retirement_tax_advantaged,70,15222,3,5
treasury,product_capture,maria_seattle_v0,maria_alaska_microsoft,employer_benefits_perks,100,13704,3,3
treasury,product_capture,maria_seattle_v0,maria_backdoor_roth,tax_strategy,100,10896,4,4
treasury,product_capture,maria_seattle_v0,maria_checking_buffer,cashflow_budgeting,38,18428,1,4
treasury,product_capture,maria_seattle_v0,maria_costco_optimization,credit_cards_rewards,100,14938,3,3
treasury,product_capture,maria_seattle_v0,maria_credit_card_balance_check,debt_credit_health,100,10381,4,4
treasury,product_capture,maria_seattle_v0,maria_credit_card_strategy,credit_cards_rewards,86,11754,6,7
treasury,product_capture,maria_seattle_v0,maria_extra_10000,life_planning_major_decisions,100,13510,3,3
treasury,product_capture,maria_seattle_v0,maria_food_spend_may,transaction_intelligence,100,14783,2,2
treasury,product_capture,maria_seattle_v0,maria_hsa,tax_strategy,100,11536,4,4
treasury,product_capture,maria_seattle_v0,maria_idle_cash,cashflow_budgeting,100,17044,3,3
treasury,product_capture,maria_seattle_v0,maria_insurance_review,insurance_risk_protection,83,10847,2,3
treasury,product_capture,maria_seattle_v0,maria_life_insurance_need,insurance_risk_protection,83,14798,2,3
treasury,product_capture,maria_seattle_v0,maria_mega_backdoor,retirement_tax_advantaged,93,17713,6,7
treasury,product_capture,maria_seattle_v0,maria_mfte_eligibility_check,housing_rent,90,14755,4,5
treasury,product_capture,maria_seattle_v0,maria_msft_stock_risk,investing_equity_comp,70,12555,3,5
treasury,product_capture,maria_seattle_v0,maria_recurring_charges_audit,transaction_intelligence,100,11101,5,5
treasury,product_capture,maria_seattle_v0,maria_rent_rewards,credit_cards_rewards,50,11559,1,2
treasury,product_capture,maria_seattle_v0,maria_rental_car_trip,employer_benefits_perks,100,23602,2,2
treasury,product_capture,maria_seattle_v0,maria_rsu_tax_withholding,investing_equity_comp,100,11045,4,4
treasury,product_capture,maria_seattle_v0,maria_save_on_rent,housing_rent,100,14718,6,6
treasury,product_capture,maria_seattle_v0,maria_side_income_tax,tax_strategy,67,11031,2,3
treasury,product_capture,maria_seattle_v0,maria_spend_may_total,transaction_intelligence,100,8040,3,3
treasury,product_capture,maria_seattle_v0,maria_subscriptions_benefits,savings_expense_reduction,75,11555,1,2
treasury,product_capture,maria_seattle_v0,maria_tax_optimization,tax_strategy,100,16356,3,3
treasury,product_capture,maria_seattle_v0,maria_where_wasting_money,savings_expense_reduction,67,12256,2,3
treasury,product_capture,patel_denver_family_v0,patel_401k_contribution,retirement_tax_advantaged,83,13333,5,6
treasury,product_capture,patel_denver_family_v0,patel_401k_percent_to_limit,retirement_tax_advantaged,88,11954,3,4
treasury,product_capture,patel_denver_family_v0,patel_529_tax_strategy,tax_strategy,63,13183,2,4
treasury,product_capture,patel_denver_family_v0,patel_backdoor_roth,tax_strategy,75,12921,4,6
treasury,product_capture,patel_denver_family_v0,patel_checking_buffer,cashflow_budgeting,100,13104,4,4
treasury,product_capture,patel_denver_family_v0,patel_childcare_family_spend_may,transaction_intelligence,100,14607,5,5
treasury,product_capture,patel_denver_family_v0,patel_childcare_tax_credits,tax_strategy,80,13845,3,5
treasury,product_capture,patel_denver_family_v0,patel_college_savings_allocation,investing_equity_comp,83,16697,5,6
treasury,product_capture,patel_denver_family_v0,patel_costco_target_optimization,credit_cards_rewards,90,12261,4,5
treasury,product_capture,patel_denver_family_v0,patel_credit_card_balance_check,debt_credit_health,100,12565,4,4
treasury,product_capture,patel_denver_family_v0,patel_credit_card_strategy,credit_cards_rewards,83,12022,5,6
treasury,product_capture,patel_denver_family_v0,patel_daycare_rewards,credit_cards_rewards,92,14072,5,6
treasury,product_capture,patel_denver_family_v0,patel_dependent_care_fsa,employer_benefits_perks,100,12519,5,5
treasury,product_capture,patel_denver_family_v0,patel_employer_family_benefits,employer_benefits_perks,93,14988,6,7
treasury,product_capture,patel_denver_family_v0,patel_extra_15000,life_planning_major_decisions,93,19431,6,7
treasury,product_capture,patel_denver_family_v0,patel_hsa_family,retirement_tax_advantaged,100,16194,5,5
treasury,product_capture,patel_denver_family_v0,patel_idle_cash,cashflow_budgeting,100,13698,4,4
treasury,product_capture,patel_denver_family_v0,patel_insurance_review,insurance_risk_protection,88,12993,3,4
treasury,product_capture,patel_denver_family_v0,patel_life_insurance_need,insurance_risk_protection,100,11237,4,4
treasury,product_capture,patel_denver_family_v0,patel_mortgage_escrow_review,housing_rent,75,11595,3,4
treasury,product_capture,patel_denver_family_v0,patel_property_insurance_review,housing_rent,100,12428,3,3
treasury,product_capture,patel_denver_family_v0,patel_recurring_charges_audit,transaction_intelligence,100,13738,6,6
treasury,product_capture,patel_denver_family_v0,patel_spend_may_total,transaction_intelligence,71,4371,4,7
treasury,product_capture,patel_denver_family_v0,patel_subscriptions_benefits,savings_expense_reduction,86,19749,6,7
treasury,product_capture,patel_denver_family_v0,patel_tax_optimization,tax_strategy,94,14127,7,8
treasury,product_capture,patel_denver_family_v0,patel_taxable_investing_priority,investing_equity_comp,83,19915,5,6
treasury,product_capture,patel_denver_family_v0,patel_where_wasting_money,savings_expense_reduction,90,17636,4,5
