provider,task_id,domain,final_score,judge_score,deterministic_score,judge_deterministic_delta,final_judge_delta,score_source,scoring_warnings
monarch,jordan_business_expenses_may,transaction_intelligence,74,65,83,18,9,weighted_blend,"Score cap 85 checked: judge found the user-visible answer was truncated, cut off, or incomplete; uncapped score was already at or below the cap."
monarch,jordan_checking_buffer,cashflow_budgeting,35,35,100,65,0,judge_override,Deterministic/judge divergence 65 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
monarch,jordan_credit_card_balance_check,debt_credit_health,60,55,80,25,5,weighted_blend,Deterministic/judge divergence 25 points; inspect validator brittleness or judge reasoning.
monarch,jordan_credit_card_strategy,credit_cards_rewards,10,10,42,32,0,judge_override,Deterministic/judge divergence 32 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
monarch,jordan_office_supplies_rewards,credit_cards_rewards,5,0,25,25,5,weighted_blend,Deterministic/judge divergence 25 points; inspect validator brittleness or judge reasoning.
monarch,jordan_quarterly_estimated_taxes,tax_strategy,78,75,88,13,3,weighted_blend,"Score cap 85 checked: judge found the user-visible answer was truncated, cut off, or incomplete; uncapped score was already at or below the cap."
monarch,jordan_recurring_charges_audit,transaction_intelligence,0,0,50,50,0,judge_override,Deterministic/judge divergence 50 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
monarch,jordan_rent_affordability,housing_rent,10,5,30,25,5,weighted_blend,Deterministic/judge divergence 25 points; inspect validator brittleness or judge reasoning.
monarch,jordan_scorp_or_llc,tax_strategy,74,75,70,5,1,weighted_blend,"Score cap 85 checked: judge found the user-visible answer was truncated, cut off, or incomplete; uncapped score was already at or below the cap."
monarch,jordan_solo401k_or_sep,retirement_tax_advantaged,40,75,63,12,35,weighted_blend,Final/judge divergence 35 points; public score may not match judged response quality. | Score cap 80 checked: stale/wrong locked current fact detected (stale_415c_69000_limit); uncapped score was already at or below the cap. | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)
monarch,jordan_subscriptions_benefits,savings_expense_reduction,0,0,61,61,0,judge_override,Deterministic/judge divergence 61 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
monarch,jordan_where_wasting_money,savings_expense_reduction,0,0,33,33,0,judge_override,Deterministic/judge divergence 33 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
monarch,maria_401k_contribution,retirement_tax_advantaged,35,35,75,40,0,judge_override,Deterministic/judge divergence 40 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
monarch,maria_alaska_microsoft,employer_benefits_perks,79,75,100,25,4,weighted_blend,Deterministic/judge divergence 25 points; inspect validator brittleness or judge reasoning.
monarch,maria_backdoor_roth,tax_strategy,40,45,25,20,5,weighted_blend,Score cap 80 checked: stale/wrong locked current fact detected (stale_ira_7000_limit); uncapped score was already at or below the cap. | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)
monarch,maria_checking_buffer,cashflow_budgeting,70,75,50,25,5,weighted_blend,Deterministic/judge divergence 25 points; inspect validator brittleness or judge reasoning.
monarch,maria_costco_optimization,credit_cards_rewards,11,5,33,28,6,weighted_blend,Deterministic/judge divergence 28 points; inspect validator brittleness or judge reasoning.
monarch,maria_credit_card_strategy,credit_cards_rewards,25,25,64,39,0,judge_override,Deterministic/judge divergence 39 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
monarch,maria_extra_10000,life_planning_major_decisions,45,45,100,55,0,judge_override,Deterministic/judge divergence 55 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
monarch,maria_idle_cash,cashflow_budgeting,65,65,100,35,0,judge_override,Deterministic/judge divergence 35 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
monarch,maria_mega_backdoor,retirement_tax_advantaged,40,55,50,5,15,weighted_blend,"Score cap 70 checked: multiple stale/wrong locked current facts detected (stale_401k_23000, stale_415c_69000_limit); uncapped score was already at or below the cap. | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (2 dangerous)"
monarch,maria_recurring_charges_audit,transaction_intelligence,88,75,100,25,13,weighted_blend,Deterministic/judge divergence 25 points; inspect validator brittleness or judge reasoning.
monarch,maria_tax_optimization,tax_strategy,40,65,50,15,25,weighted_blend,Final/judge divergence 25 points; public score may not match judged response quality. | Score cap 80 checked: stale/wrong locked current fact detected (stale_ira_7000_limit); uncapped score was already at or below the cap. | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)
monarch,patel_401k_contribution,retirement_tax_advantaged,5,5,67,62,0,judge_override,Deterministic/judge divergence 62 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
monarch,patel_401k_percent_to_limit,retirement_tax_advantaged,31,25,50,25,6,weighted_blend,Deterministic/judge divergence 25 points; inspect validator brittleness or judge reasoning.
