provider,mode,persona_id,task_id,domain,deterministic_score,latency_ms,checks_passed,checks_total
origin,product_capture,jordan_austin_freelancer_v0,jordan_business_banking_perks,employer_benefits_perks,80,87806,4,5
origin,product_capture,jordan_austin_freelancer_v0,jordan_business_expenses_may,transaction_intelligence,83,41811,5,6
origin,product_capture,jordan_austin_freelancer_v0,jordan_checking_buffer,cashflow_budgeting,100,61562,5,5
origin,product_capture,jordan_austin_freelancer_v0,jordan_credit_card_balance_check,debt_credit_health,90,54222,4,5
origin,product_capture,jordan_austin_freelancer_v0,jordan_credit_card_strategy,credit_cards_rewards,83,71507,5,6
origin,product_capture,jordan_austin_freelancer_v0,jordan_crypto_concentration,investing_equity_comp,60,41933,3,5
origin,product_capture,jordan_austin_freelancer_v0,jordan_disability_liability_need,insurance_risk_protection,63,71563,2,4
origin,product_capture,jordan_austin_freelancer_v0,jordan_extra_8000,life_planning_major_decisions,71,67341,5,7
origin,product_capture,jordan_austin_freelancer_v0,jordan_health_insurance_marketplace,employer_benefits_perks,100,76575,7,7
origin,product_capture,jordan_austin_freelancer_v0,jordan_home_office_deduction,tax_strategy,83,80055,5,6
origin,product_capture,jordan_austin_freelancer_v0,jordan_home_office_rent,housing_rent,75,60250,3,4
origin,product_capture,jordan_austin_freelancer_v0,jordan_hsa,retirement_tax_advantaged,67,69541,4,6
origin,product_capture,jordan_austin_freelancer_v0,jordan_idle_cash,cashflow_budgeting,80,42964,4,5
origin,product_capture,jordan_austin_freelancer_v0,jordan_insurance_review,insurance_risk_protection,80,83182,4,5
origin,product_capture,jordan_austin_freelancer_v0,jordan_office_supplies_rewards,credit_cards_rewards,100,46935,6,6
origin,product_capture,jordan_austin_freelancer_v0,jordan_quarterly_estimated_taxes,tax_strategy,88,52144,7,8
origin,product_capture,jordan_austin_freelancer_v0,jordan_recurring_charges_audit,transaction_intelligence,78,41847,7,9
origin,product_capture,jordan_austin_freelancer_v0,jordan_rent_affordability,housing_rent,80,88220,4,5
origin,product_capture,jordan_austin_freelancer_v0,jordan_roth_or_traditional_ira,retirement_tax_advantaged,64,51921,4,7
origin,product_capture,jordan_austin_freelancer_v0,jordan_scorp_or_llc,tax_strategy,60,43446,3,5
origin,product_capture,jordan_austin_freelancer_v0,jordan_solo401k_or_sep,retirement_tax_advantaged,63,33747,5,8
origin,product_capture,jordan_austin_freelancer_v0,jordan_spend_may_total,transaction_intelligence,75,31761,6,8
origin,product_capture,jordan_austin_freelancer_v0,jordan_subscriptions_benefits,savings_expense_reduction,78,45685,7,9
origin,product_capture,jordan_austin_freelancer_v0,jordan_tax_optimization,tax_strategy,50,33745,4,8
origin,product_capture,jordan_austin_freelancer_v0,jordan_taxable_investing_after_tax_reserve,investing_equity_comp,71,57366,5,7
origin,product_capture,jordan_austin_freelancer_v0,jordan_travel_rewards,credit_cards_rewards,60,39236,2,5
origin,product_capture,jordan_austin_freelancer_v0,jordan_where_wasting_money,savings_expense_reduction,92,46197,5,6
origin,product_capture,maria_seattle_v0,maria_401k_contribution,retirement_tax_advantaged,75,20094,3,4
origin,product_capture,maria_seattle_v0,maria_401k_percent_to_limit,retirement_tax_advantaged,70,60389,3,5
origin,product_capture,maria_seattle_v0,maria_alaska_microsoft,employer_benefits_perks,100,85501,3,3
origin,product_capture,maria_seattle_v0,maria_backdoor_roth,tax_strategy,100,30197,4,4
origin,product_capture,maria_seattle_v0,maria_checking_buffer,cashflow_budgeting,88,55355,3,4
origin,product_capture,maria_seattle_v0,maria_costco_optimization,credit_cards_rewards,100,55282,3,3
origin,product_capture,maria_seattle_v0,maria_credit_card_balance_check,debt_credit_health,100,45287,4,4
origin,product_capture,maria_seattle_v0,maria_credit_card_strategy,credit_cards_rewards,50,20138,3,7
origin,product_capture,maria_seattle_v0,maria_extra_10000,life_planning_major_decisions,100,25232,3,3
origin,product_capture,maria_seattle_v0,maria_food_spend_may,transaction_intelligence,100,15075,2,2
origin,product_capture,maria_seattle_v0,maria_hsa,tax_strategy,75,20107,3,4
origin,product_capture,maria_seattle_v0,maria_idle_cash,cashflow_budgeting,50,35179,1,3
origin,product_capture,maria_seattle_v0,maria_insurance_review,insurance_risk_protection,67,60433,2,3
origin,product_capture,maria_seattle_v0,maria_life_insurance_need,insurance_risk_protection,67,50360,2,3
origin,product_capture,maria_seattle_v0,maria_mega_backdoor,retirement_tax_advantaged,93,30215,6,7
origin,product_capture,maria_seattle_v0,maria_mfte_eligibility_check,housing_rent,50,45467,2,5
origin,product_capture,maria_seattle_v0,maria_msft_stock_risk,investing_equity_comp,70,70494,3,5
origin,product_capture,maria_seattle_v0,maria_recurring_charges_audit,transaction_intelligence,70,35158,3,5
origin,product_capture,maria_seattle_v0,maria_rent_rewards,credit_cards_rewards,100,30247,2,2
origin,product_capture,maria_seattle_v0,maria_rental_car_trip,employer_benefits_perks,100,35192,2,2
origin,product_capture,maria_seattle_v0,maria_rsu_tax_withholding,investing_equity_comp,100,60887,4,4
origin,product_capture,maria_seattle_v0,maria_save_on_rent,housing_rent,75,20180,4,6
origin,product_capture,maria_seattle_v0,maria_side_income_tax,tax_strategy,100,65447,3,3
origin,product_capture,maria_seattle_v0,maria_spend_may_total,transaction_intelligence,100,20105,3,3
origin,product_capture,maria_seattle_v0,maria_subscriptions_benefits,savings_expense_reduction,50,35281,1,2
origin,product_capture,maria_seattle_v0,maria_tax_optimization,tax_strategy,100,45428,3,3
origin,product_capture,maria_seattle_v0,maria_where_wasting_money,savings_expense_reduction,17,45248,0,3
origin,product_capture,patel_denver_family_v0,patel_401k_contribution,retirement_tax_advantaged,100,,6,6
origin,product_capture,patel_denver_family_v0,patel_401k_percent_to_limit,retirement_tax_advantaged,75,27720,3,4
origin,product_capture,patel_denver_family_v0,patel_529_tax_strategy,tax_strategy,63,227064,2,4
origin,product_capture,patel_denver_family_v0,patel_backdoor_roth,tax_strategy,83,4087,5,6
origin,product_capture,patel_denver_family_v0,patel_checking_buffer,cashflow_budgeting,100,45620,4,4
origin,product_capture,patel_denver_family_v0,patel_childcare_family_spend_may,transaction_intelligence,60,30870,3,5
