provider,mode,persona_id,task_id,domain,final_score,deterministic_score,judge_score,score_source,deterministic_weight,judge_weight,judge_deterministic_delta,final_judge_delta,scoring_mode,latency_ms,scoring_warnings
origin,product_capture,jordan_austin_freelancer_v0,jordan_business_banking_perks,employer_benefits_perks,78,80,78,weighted_blend,0.15,0.85,2,0,deterministic_plus_judge,87806,
origin,product_capture,jordan_austin_freelancer_v0,jordan_business_expenses_may,transaction_intelligence,89,83,95,weighted_blend,0.5,0.5,12,6,deterministic_plus_judge,41811,
origin,product_capture,jordan_austin_freelancer_v0,jordan_checking_buffer,cashflow_budgeting,94,100,92,weighted_blend,0.25,0.75,8,2,deterministic_plus_judge,61562,
origin,product_capture,jordan_austin_freelancer_v0,jordan_credit_card_balance_check,debt_credit_health,78,90,75,weighted_blend,0.2,0.8,15,3,deterministic_plus_judge,54222,
origin,product_capture,jordan_austin_freelancer_v0,jordan_credit_card_strategy,credit_cards_rewards,82,83,82,weighted_blend,0.2,0.8,1,0,deterministic_plus_judge,71507,
origin,product_capture,jordan_austin_freelancer_v0,jordan_crypto_concentration,investing_equity_comp,25,60,25,judge_override,0,1,35,0,deterministic_plus_judge,41933,Deterministic/judge divergence 35 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
origin,product_capture,jordan_austin_freelancer_v0,jordan_disability_liability_need,insurance_risk_protection,81,63,85,weighted_blend,0.2,0.8,22,4,deterministic_plus_judge,71563,
origin,product_capture,jordan_austin_freelancer_v0,jordan_extra_8000,life_planning_major_decisions,85,71,88,weighted_blend,0.15,0.85,17,3,deterministic_plus_judge,67341,
origin,product_capture,jordan_austin_freelancer_v0,jordan_health_insurance_marketplace,employer_benefits_perks,96,100,95,weighted_blend,0.2,0.8,5,1,deterministic_plus_judge,76575,
origin,product_capture,jordan_austin_freelancer_v0,jordan_home_office_deduction,tax_strategy,69,83,65,weighted_blend,0.2,0.8,18,4,deterministic_plus_judge,80055,
origin,product_capture,jordan_austin_freelancer_v0,jordan_home_office_rent,housing_rent,75,75,75,weighted_blend,0.2,0.8,0,0,deterministic_plus_judge,60250,
origin,product_capture,jordan_austin_freelancer_v0,jordan_hsa,retirement_tax_advantaged,65,67,85,weighted_blend,0.2,0.8,18,20,deterministic_plus_judge,69541,Final/judge divergence 20 points; public score may not match judged response quality. | Score cap 65 applied: answer contradicts a locked fact (1 material)
origin,product_capture,jordan_austin_freelancer_v0,jordan_idle_cash,cashflow_budgeting,68,80,65,weighted_blend,0.2,0.8,15,3,deterministic_plus_judge,42964,
origin,product_capture,jordan_austin_freelancer_v0,jordan_insurance_review,insurance_risk_protection,86,80,88,weighted_blend,0.2,0.8,8,2,deterministic_plus_judge,83182,
origin,product_capture,jordan_austin_freelancer_v0,jordan_office_supplies_rewards,credit_cards_rewards,80,100,75,weighted_blend,0.2,0.8,25,5,deterministic_plus_judge,46935,Deterministic/judge divergence 25 points; inspect validator brittleness or judge reasoning.
origin,product_capture,jordan_austin_freelancer_v0,jordan_quarterly_estimated_taxes,tax_strategy,86,88,85,weighted_blend,0.2,0.8,3,1,deterministic_plus_judge,52144,
origin,product_capture,jordan_austin_freelancer_v0,jordan_recurring_charges_audit,transaction_intelligence,82,78,85,weighted_blend,0.5,0.5,7,3,deterministic_plus_judge,41847,
origin,product_capture,jordan_austin_freelancer_v0,jordan_rent_affordability,housing_rent,82,80,82,weighted_blend,0.2,0.8,2,0,deterministic_plus_judge,88220,
origin,product_capture,jordan_austin_freelancer_v0,jordan_roth_or_traditional_ira,retirement_tax_advantaged,41,64,35,weighted_blend,0.2,0.8,29,6,deterministic_plus_judge,51921,"Deterministic/judge divergence 29 points; inspect validator brittleness or judge reasoning. | Score cap 85 checked: judge found the user-visible answer was truncated, cut off, or incomplete; uncapped score was already at or below the cap."
origin,product_capture,jordan_austin_freelancer_v0,jordan_scorp_or_llc,tax_strategy,65,60,82,weighted_blend,0.2,0.8,22,17,deterministic_plus_judge,43446,Score cap 65 applied: answer contradicts a locked fact (1 material)
origin,product_capture,jordan_austin_freelancer_v0,jordan_solo401k_or_sep,retirement_tax_advantaged,65,63,65,weighted_blend,0.2,0.8,2,0,deterministic_plus_judge,33747,"Score cap 85 checked: judge found the user-visible answer was truncated, cut off, or incomplete; uncapped score was already at or below the cap."
origin,product_capture,jordan_austin_freelancer_v0,jordan_spend_may_total,transaction_intelligence,75,75,75,weighted_blend,0.5,0.5,0,0,deterministic_plus_judge,31761,
origin,product_capture,jordan_austin_freelancer_v0,jordan_subscriptions_benefits,savings_expense_reduction,67,78,65,weighted_blend,0.15,0.85,13,2,deterministic_plus_judge,45685,
origin,product_capture,jordan_austin_freelancer_v0,jordan_tax_optimization,tax_strategy,46,50,45,weighted_blend,0.15,0.85,5,1,deterministic_plus_judge,33745,
origin,product_capture,jordan_austin_freelancer_v0,jordan_taxable_investing_after_tax_reserve,investing_equity_comp,83,71,85,weighted_blend,0.15,0.85,14,2,deterministic_plus_judge,57366,
origin,product_capture,jordan_austin_freelancer_v0,jordan_travel_rewards,credit_cards_rewards,48,60,45,weighted_blend,0.2,0.8,15,3,deterministic_plus_judge,39236,"Score cap 85 checked: judge found the user-visible answer was truncated, cut off, or incomplete; uncapped score was already at or below the cap."
origin,product_capture,jordan_austin_freelancer_v0,jordan_where_wasting_money,savings_expense_reduction,69,92,65,weighted_blend,0.15,0.85,27,4,deterministic_plus_judge,46197,Deterministic/judge divergence 27 points; inspect validator brittleness or judge reasoning.
origin,product_capture,maria_seattle_v0,maria_401k_contribution,retirement_tax_advantaged,25,75,25,judge_override,0,1,50,0,deterministic_plus_judge,20094,Deterministic/judge divergence 50 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
