provider,mode,persona_id,task_id,domain,deterministic_score,latency_ms,checks_passed,checks_total
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_business_banking_perks,employer_benefits_perks,100,13809,5,5
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_business_expenses_may,transaction_intelligence,100,6772,6,6
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_checking_buffer,cashflow_budgeting,100,7356,5,5
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_credit_card_balance_check,debt_credit_health,100,7324,5,5
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_credit_card_strategy,credit_cards_rewards,83,8669,5,6
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_crypto_concentration,investing_equity_comp,100,6867,5,5
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_disability_liability_need,insurance_risk_protection,100,7404,4,4
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_extra_8000,life_planning_major_decisions,100,6818,7,7
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_health_insurance_marketplace,employer_benefits_perks,71,8120,5,7
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_home_office_deduction,tax_strategy,83,9536,5,6
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_home_office_rent,housing_rent,100,7138,4,4
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_hsa,retirement_tax_advantaged,100,6923,6,6
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_idle_cash,cashflow_budgeting,100,6461,5,5
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_insurance_review,insurance_risk_protection,100,8111,5,5
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_office_supplies_rewards,credit_cards_rewards,83,8255,5,6
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_quarterly_estimated_taxes,tax_strategy,100,9268,8,8
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_recurring_charges_audit,transaction_intelligence,89,6714,8,9
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_rent_affordability,housing_rent,100,7881,5,5
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_roth_or_traditional_ira,retirement_tax_advantaged,64,7202,4,7
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_scorp_or_llc,tax_strategy,80,8016,4,5
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_solo401k_or_sep,retirement_tax_advantaged,100,12740,8,8
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_spend_may_total,transaction_intelligence,100,6898,8,8
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_subscriptions_benefits,savings_expense_reduction,78,7970,7,9
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_tax_optimization,tax_strategy,88,9527,7,8
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_taxable_investing_after_tax_reserve,investing_equity_comp,86,8976,6,7
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_travel_rewards,credit_cards_rewards,100,7574,5,5
openai:chat-latest,full_context_baseline,jordan_austin_freelancer_v0,jordan_where_wasting_money,savings_expense_reduction,83,10279,5,6
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_401k_contribution,retirement_tax_advantaged,100,6049,4,4
