provider,mode,persona_id,task_id,domain,deterministic_score,latency_ms,checks_passed,checks_total
monarch,product_capture,jordan_austin_freelancer_v0,jordan_business_banking_perks,employer_benefits_perks,60,112420,3,5
monarch,product_capture,jordan_austin_freelancer_v0,jordan_business_expenses_may,transaction_intelligence,83,31859,5,6
monarch,product_capture,jordan_austin_freelancer_v0,jordan_checking_buffer,cashflow_budgeting,100,62109,5,5
monarch,product_capture,jordan_austin_freelancer_v0,jordan_credit_card_balance_check,debt_credit_health,80,113042,4,5
monarch,product_capture,jordan_austin_freelancer_v0,jordan_credit_card_strategy,credit_cards_rewards,42,42156,2,6
monarch,product_capture,jordan_austin_freelancer_v0,jordan_crypto_concentration,investing_equity_comp,60,97087,3,5
monarch,product_capture,jordan_austin_freelancer_v0,jordan_disability_liability_need,insurance_risk_protection,75,112291,3,4
monarch,product_capture,jordan_austin_freelancer_v0,jordan_extra_8000,life_planning_major_decisions,79,112424,5,7
monarch,product_capture,jordan_austin_freelancer_v0,jordan_health_insurance_marketplace,employer_benefits_perks,57,82193,4,7
monarch,product_capture,jordan_austin_freelancer_v0,jordan_home_office_deduction,tax_strategy,67,112514,4,6
monarch,product_capture,jordan_austin_freelancer_v0,jordan_home_office_rent,housing_rent,75,112650,2,4
monarch,product_capture,jordan_austin_freelancer_v0,jordan_hsa,retirement_tax_advantaged,50,113342,3,6
monarch,product_capture,jordan_austin_freelancer_v0,jordan_idle_cash,cashflow_budgeting,80,112374,4,5
monarch,product_capture,jordan_austin_freelancer_v0,jordan_insurance_review,insurance_risk_protection,80,92439,4,5
monarch,product_capture,jordan_austin_freelancer_v0,jordan_office_supplies_rewards,credit_cards_rewards,25,112284,1,6
monarch,product_capture,jordan_austin_freelancer_v0,jordan_quarterly_estimated_taxes,tax_strategy,88,112235,7,8
monarch,product_capture,jordan_austin_freelancer_v0,jordan_recurring_charges_audit,transaction_intelligence,50,41877,4,9
monarch,product_capture,jordan_austin_freelancer_v0,jordan_rent_affordability,housing_rent,30,36858,1,5
monarch,product_capture,jordan_austin_freelancer_v0,jordan_roth_or_traditional_ira,retirement_tax_advantaged,57,87768,4,7
monarch,product_capture,jordan_austin_freelancer_v0,jordan_scorp_or_llc,tax_strategy,70,113180,3,5
monarch,product_capture,jordan_austin_freelancer_v0,jordan_solo401k_or_sep,retirement_tax_advantaged,63,103572,5,8
monarch,product_capture,jordan_austin_freelancer_v0,jordan_spend_may_total,transaction_intelligence,75,31869,6,8
monarch,product_capture,jordan_austin_freelancer_v0,jordan_subscriptions_benefits,savings_expense_reduction,61,107497,5,9
monarch,product_capture,jordan_austin_freelancer_v0,jordan_tax_optimization,tax_strategy,75,112555,6,8
monarch,product_capture,jordan_austin_freelancer_v0,jordan_taxable_investing_after_tax_reserve,investing_equity_comp,64,112304,4,7
monarch,product_capture,jordan_austin_freelancer_v0,jordan_travel_rewards,credit_cards_rewards,80,112461,4,5
monarch,product_capture,jordan_austin_freelancer_v0,jordan_where_wasting_money,savings_expense_reduction,33,46984,2,6
monarch,product_capture,maria_seattle_v0,maria_401k_contribution,retirement_tax_advantaged,75,,3,4
monarch,product_capture,maria_seattle_v0,maria_401k_percent_to_limit,retirement_tax_advantaged,70,,3,5
monarch,product_capture,maria_seattle_v0,maria_alaska_microsoft,employer_benefits_perks,100,,3,3
monarch,product_capture,maria_seattle_v0,maria_backdoor_roth,tax_strategy,25,,1,4
monarch,product_capture,maria_seattle_v0,maria_checking_buffer,cashflow_budgeting,50,,2,4
monarch,product_capture,maria_seattle_v0,maria_costco_optimization,credit_cards_rewards,33,36490,1,3
monarch,product_capture,maria_seattle_v0,maria_credit_card_balance_check,debt_credit_health,100,,4,4
monarch,product_capture,maria_seattle_v0,maria_credit_card_strategy,credit_cards_rewards,64,,4,7
monarch,product_capture,maria_seattle_v0,maria_extra_10000,life_planning_major_decisions,100,,3,3
monarch,product_capture,maria_seattle_v0,maria_food_spend_may,transaction_intelligence,100,22383,2,2
monarch,product_capture,maria_seattle_v0,maria_hsa,tax_strategy,50,,2,4
monarch,product_capture,maria_seattle_v0,maria_idle_cash,cashflow_budgeting,100,,3,3
monarch,product_capture,maria_seattle_v0,maria_insurance_review,insurance_risk_protection,83,,2,3
monarch,product_capture,maria_seattle_v0,maria_life_insurance_need,insurance_risk_protection,83,,2,3
monarch,product_capture,maria_seattle_v0,maria_mega_backdoor,retirement_tax_advantaged,50,,3,7
monarch,product_capture,maria_seattle_v0,maria_mfte_eligibility_check,housing_rent,40,,2,5
monarch,product_capture,maria_seattle_v0,maria_msft_stock_risk,investing_equity_comp,50,,2,5
monarch,product_capture,maria_seattle_v0,maria_recurring_charges_audit,transaction_intelligence,100,34519,5,5
monarch,product_capture,maria_seattle_v0,maria_rent_rewards,credit_cards_rewards,25,,0,2
